iter	Logloss
0	0.6598333594
1	0.631320625
2	0.6062629297
3	0.5844214844
4	0.5663232812
5	0.5496851953
6	0.5357989063
7	0.5246355469
8	0.5151921875
9	0.5064371484
10	0.4984485156
11	0.4908423047
12	0.4847292188
13	0.4798482031
14	0.4752685938
15	0.4717057813
16	0.4679150391
17	0.4644488672
18	0.4619777734
19	0.45976
20	0.4573940625
21	0.4553833594
22	0.4536702734
23	0.4517379687
24	0.4499310938
25	0.4487258594
26	0.4476027734
27	0.446395625
28	0.4452763281
29	0.4445285547
30	0.4435109375
31	0.4425830859
32	0.4420274609
33	0.4414410156
34	0.4407691016
35	0.440234375
36	0.4398085937
37	0.4393161719
38	0.4385169531
39	0.4381033594
40	0.4377019531
41	0.4373144922
42	0.436800625
43	0.4363803516
44	0.4359796875
45	0.4356507422
46	0.4353811719
47	0.4350578906
48	0.4347258203
49	0.434448125
50	0.4341338281
51	0.4338874609
52	0.4336349219
53	0.4334710937
54	0.4332388672
55	0.4329273438
56	0.4327046875
57	0.4324966406
58	0.43216625
59	0.4319089063
60	0.4316912891
61	0.4315353516
62	0.4314186328
63	0.4312503516
64	0.4310194141
65	0.4308891797
66	0.4306418359
67	0.4304369141
68	0.4302839453
69	0.4301121875
70	0.4299440625
71	0.4297928906
72	0.4296349609
73	0.4294157031
74	0.4292925781
75	0.4291994141
76	0.4290555469
77	0.4288862891
78	0.4287619922
79	0.4286002734
80	0.428445
81	0.4282648047
82	0.4281578125
83	0.4279596875
84	0.4278033594
85	0.4276533594
86	0.4275122656
87	0.4273542969
88	0.4271813672
89	0.4270203906
90	0.4269220703
91	0.426736875
92	0.4265933594
93	0.4264269922
94	0.4262977734
95	0.4261575
96	0.426085625
97	0.4260105078
98	0.4258937109
99	0.4258073438
100	0.4257468359
101	0.4255776562
102	0.4254324219
103	0.4253430469
104	0.4252646094
105	0.4251592188
106	0.4250110938
107	0.42493
108	0.4247991016
109	0.4246387109
110	0.4245622656
111	0.4244312891
112	0.4243687891
113	0.4242342578
114	0.4241423828
115	0.4240426562
116	0.4239580078
117	0.4237673828
118	0.4236600391
119	0.4236116406
120	0.4235274609
121	0.4234085938
122	0.423305625
123	0.4231713281
124	0.4230625
125	0.4229604297
126	0.4228738281
127	0.4228092187
128	0.4227185156
129	0.4225855078
130	0.4224814844
131	0.4224330078
132	0.4223832813
