iter	Passed	Remaining
0	53	53112
1	111	55851
2	159	53130
3	205	51202
4	267	53254
5	314	52109
6	364	51752
7	416	51662
8	465	51309
9	512	50698
10	561	50498
11	609	50214
12	656	49851
13	699	49288
14	765	50292
15	813	50055
16	856	49501
17	910	49652
18	966	49905
19	1016	49807
20	1067	49775
21	1112	49454
22	1157	49160
23	1205	49037
24	1249	48735
25	1293	48442
26	1342	48380
27	1385	48103
28	1436	48097
29	1493	48295
30	1538	48097
31	1579	47785
32	1630	47772
33	1671	47481
34	1715	47312
35	1761	47182
36	1813	47195
37	1858	47048
38	1911	47095
39	1995	47886
40	2043	47800
41	2097	47831
42	2147	47803
43	2205	47921
44	2260	47971
45	2306	47831
46	2363	47917
47	2405	47716
48	2448	47518
49	2490	47316
50	2542	47318
51	2597	47348
52	2650	47355
53	2708	47450
54	2754	47324
55	2799	47190
56	2836	46930
57	2874	46691
58	2918	46553
59	2962	46406
60	3013	46384
61	3064	46356
62	3102	46148
63	3153	46125
64	3214	46233
65	3275	46355
66	3312	46132
67	3360	46054
68	3405	45947
69	3448	45819
70	3494	45725
71	3537	45596
72	3596	45673
73	3657	45764
74	3711	45779
75	3768	45821
76	3813	45717
77	3864	45680
78	3914	45636
79	3965	45601
80	4018	45589
81	4078	45656
82	4143	45772
83	4203	45836
84	4267	45939
85	4338	46106
86	4399	46166
87	4451	46133
88	4509	46162
89	4561	46121
90	4620	46153
91	4669	46082
92	4731	46145
93	4785	46127
94	4840	46114
95	4893	46084
96	4945	46043
97	5000	46026
98	5049	45956
99	5115	46036
100	5173	46052
101	5212	45894
102	5251	45738
103	5304	45702
104	5357	45669
105	5408	45611
106	5454	45518
107	5505	45472
108	5545	45332
109	5591	45241
110	5642	45191
111	5691	45128
112	5745	45102
113	5790	45003
114	5870	45175
115	5915	45083
116	5969	45052
117	6010	44925
118	6055	44833
119	6105	44772
120	6155	44713
121	6206	44667
122	6252	44580
123	6298	44494
124	6351	44463
125	6390	44326
126	6431	44207
127	6477	44128
128	6522	44038
129	6566	43943
130	6607	43831
131	6658	43782
132	6702	43691
133	6748	43611
134	6788	43494
135	6835	43428
136	6877	43326
137	6926	43264
138	6971	43180
139	7019	43118
140	7077	43117
141	7125	43053
142	7175	43004
143	7211	42871
144	7256	42788
145	7298	42692
146	7343	42611
147	7384	42511
148	7420	42382
149	7470	42334
150	7516	42263
151	7563	42198
152	7611	42139
153	7654	42050
154	7689	41918
155	7734	41843
156	7774	41743
157	7819	41668
158	7864	41599
159	7906	41509
160	7955	41459
161	8008	41428
162	8063	41403
163	8106	41324
164	8151	41250
165	8192	41160
166	8238	41094
167	8287	41041
168	8344	41033
169	8395	40989
170	8433	40884
171	8479	40821
172	8525	40753
173	8566	40664
174	8624	40657
175	8670	40595
176	8722	40557
177	8770	40501
178	8817	40442
179	8853	40333
180	8895	40252
181	8942	40193
182	8992	40144
183	9042	40099
184	9087	40034
185	9138	39992
186	9179	39910
187	9223	39838
188	9263	39750
189	9298	39641
190	9362	39656
191	9422	39652
192	9501	39729
193	9557	39708
194	9633	39769
195	9701	39794
196	9771	39828
197	9844	39873
198	9900	39850
199	9953	39813
200	10001	39755
201	10053	39714
202	10095	39637
203	10143	39580
204	10187	39509
205	10237	39458
206	10280	39383
207	10330	39333
208	10374	39263
209	10415	39180
210	10473	39164
211	10525	39122
212	10570	39055
213	10619	39006
214	10661	38926
215	10697	38829
216	10745	38773
217	10791	38709
218	10833	38635
219	10873	38550
220	10925	38512
221	10967	38434
222	11011	38366
223	11050	38283
224	11093	38211
225	11135	38138
226	11183	38082
227	11238	38054
228	11288	38007
229	11344	37977
230	11384	37900
231	11428	37830
232	11467	37748
233	11508	37672
234	11549	37597
235	11589	37519
236	11640	37474
237	11679	37394
238	11728	37344
239	11783	37314
240	11827	37249
241	11870	37180
242	11916	37123
243	11967	37081
244	12021	37047
245	12065	36982
246	12108	36914
247	12156	36860
248	12200	36796
249	12239	36718
250	12282	36650
251	12332	36605
252	12381	36557
253	12425	36493
254	12467	36425
255	12510	36357
256	12549	36280
257	12593	36217
258	12644	36176
259	12685	36106
260	12736	36061
261	12787	36018
262	12842	35989
263	12890	35936
264	12936	35881
265	12984	35830
266	13036	35788
267	13075	35714
268	13120	35655
269	13164	35593
270	13196	35499
271	13237	35430
272	13282	35371
273	13325	35308
274	13370	35249
275	13403	35161
276	13439	35079
277	13486	35025
278	13528	34961
279	13578	34916
280	13623	34858
281	13666	34797
282	13712	34741
283	13753	34675
284	13795	34608
285	13833	34535
286	13874	34468
287	13911	34392
288	13960	34345
289	14007	34295
290	14055	34244
291	14096	34180
292	14136	34110
293	14175	34041
294	14220	33985
295	14263	33924
296	14299	33847
297	14345	33794
298	14388	33734
299	14431	33672
300	14468	33599
301	14517	33554
302	14563	33500
303	14608	33446
304	14661	33408
305	14712	33367
306	14761	33322
307	14803	33259
308	14851	33210
309	14888	33139
310	14933	33084
311	14991	33057
312	15039	33011
313	15078	32941
314	15129	32901
315	15169	32834
316	15208	32768
317	15254	32716
318	15302	32668
319	15354	32629
320	15402	32580
321	15445	32520
322	15489	32466
323	15540	32423
324	15584	32366
325	15627	32310
326	15673	32258
327	15713	32194
328	15756	32135
329	15795	32068
330	15838	32011
331	15879	31949
332	15930	31909
333	15980	31865
334	16020	31801
335	16065	31748
336	16108	31691
337	16153	31638
338	16196	31581
339	16238	31522
340	16279	31460
341	16332	31423
342	16379	31374
343	16423	31319
344	16471	31271
345	16522	31230
346	16568	31179
347	16615	31130
348	16652	31062
349	16697	31009
350	16740	30953
351	16788	30905
352	16848	30880
353	16892	30826
354	16936	30772
355	16969	30697
356	17012	30640
357	17055	30585
358	17094	30522
359	17140	30472
360	17178	30407
361	17220	30349
362	17257	30284
363	17300	30228
364	17349	30182
365	17391	30126
366	17440	30081
367	17480	30020
368	17523	29965
369	17567	29911
